Gene	baseMean	log2FoldChange	lfcSE	pvalue	padj	threshold
ENSG00000010810	9.465002298835081	3.7021453145281655	0.5017552125438766	9.260068027085326e-15	1.9441512822865644e-11	TRUE
ENSG00000121390	9.094914488552261	3.646882398822608	0.4821250712979766	2.3065948404975012e-15	6.4569278234993385e-12	TRUE
ENSG00000152291	7.905169050288801	3.437087558158792	0.4506026403141267	1.4948253780424897e-15	6.276771762400414e-12	TRUE
ENSG00000135334	6.978853132343759	3.215093665328194	0.49231527150699655	3.876919124611251e-12	2.7131972340404406e-9	TRUE
ENSG00000127481	6.418678157846918	3.102842815927417	0.449836092837431	3.435441654206554e-13	3.205648779114071e-10	TRUE
ENSG00000114857	6.530283920939808	3.1002064712925126	0.5044971999183937	4.7053160228164553e-11	2.1952913310895883e-8	TRUE
ENSG00000005844	6.2795269942643515	3.064247782599439	0.46099050148273085	1.943651905862475e-12	1.4838898823120968e-9	TRUE
ENSG00000142227	6.299832100704052	3.0551224229259177	0.4925977514867687	3.489311607288297e-11	1.7237199340004188e-8	TRUE
ENSG00000099783	6.106261385332179	3.0114280160181575	0.4696252656060114	9.101350191482098e-12	5.459509922004762e-9	TRUE
ENSG00000115368	2.437874862323419	2.9789617266484187	0.388860242848698	7.73099428019238e-5	0.0011325088757487749	TRUE
ENSG00000111144	5.936248290924354	2.9667773911871818	0.46369516852373616	1.0072650214557366e-11	5.6393411001235175e-9	TRUE
ENSG00000010610	7.640610328556116	2.9502007399365144	0.4586710386857886	7.968193100163997e-12	5.147452742705942e-9	TRUE
ENSG00000135870	2.6126975541974895	2.9245498293744414	0.4013790747995496	2.8313854077210686e-5	5.283994367564786e-4	TRUE
ENSG00000139644	5.777019678071844	2.9181671293939946	0.46773061024528934	2.795690037346153e-11	1.467387808352062e-8	TRUE
ENSG00000136888	2.578238035926249	2.866597885923974	0.4048775931942721	3.743973783741771e-5	6.589083638468272e-4	TRUE
ENSG00000120727	8.370182851809322	2.7776137505928267	0.5139008264550404	3.83495011188796e-9	7.001285008616323e-7	TRUE
ENSG00000181929	5.132892304015371	2.7231457643567594	0.46316680477179056	2.704735647752148e-10	9.464320820759393e-8	TRUE
ENSG00000266709	5.177769528097987	2.7181234940391112	0.4919735775472803	2.047656993410553e-9	4.2990558576654554e-7	TRUE
ENSG00000186628	2.8591218276955503	2.7016392393617794	0.4549644563873023	4.129234440017613e-5	7.091474606803255e-4	TRUE
ENSG00000100461	2.1552243781389224	2.6879409805679244	0.3733191191417628	5.096868141410696e-4	0.004452372652301433	TRUE
ENSG00000169564	4.98258712260348	2.6869350251770627	0.4423547436019396	8.632757794971661e-11	3.6248949981086e-8	TRUE
ENSG00000135924	5.005548019910968	2.6828903845098617	0.45683391696574616	2.843514207158783e-10	9.551932924687785e-8	TRUE
ENSG00000005339	6.22867482700002	2.659362651546261	0.4743863313794755	1.2955605400499623e-9	3.272586509444758e-7	TRUE
ENSG00000261150	4.8461333636244754	2.636571891786144	0.4397057603345911	1.384543136544416e-10	5.285178754863639e-8	TRUE
ENSG00000186635	4.838512981986317	2.623227648866866	0.46590472534375676	1.2033738821892882e-9	3.1581043320705133e-7	TRUE
ENSG00000167528	2.8764515719992243	2.6199365417082556	0.4211318728768986	8.164264114357512e-6	2.1697306972270376e-4	TRUE
ENSG00000119383	4.804230712792958	2.6132274939904203	0.4701974126660743	1.8553421688025327e-9	4.2111252793523433e-7	TRUE
ENSG00000177954	11.846222988848838	2.6047750848764655	0.47160802679129166	2.012595505640422e-9	4.2990558576654554e-7	TRUE
ENSG00000118922	6.041282383484766	2.5928708720571194	0.44560063049834175	3.955978250807398e-10	1.2777809750107897e-7	TRUE
ENSG00000206948	7.18350649259833	2.5721472235110157	0.4609597441450728	1.5403615123723508e-9	3.593321105806389e-7	TRUE
ENSG00000172183	4.662156251043891	2.5689195065677777	0.44845124268468045	7.010465695116173e-10	2.0301341692270903e-7	TRUE
ENSG00000055163	4.597659301747823	2.547940998985931	0.4434769558631875	6.42389410691046e-10	1.926709382494073e-7	TRUE
ENSG00000265972	21.045188392866937	2.544072742769736	0.5063983388048946	2.8904962835690244e-8	3.371442748529537e-6	TRUE
ENSG00000058262	2.104795097094539	2.543616557813698	0.3770887772047311	5.402237620838718e-4	0.004657844506413897	TRUE
ENSG00000090615	4.608654832861452	2.5425271705350805	0.458621650246888	2.014765955725841e-9	4.2990558576654554e-7	TRUE
ENSG00000136450	4.484103491570521	2.5051216599575277	0.4464419755938953	1.4195780503561114e-9	3.406176133397321e-7	TRUE
ENSG00000092010	2.6340693135295457	2.504249542178976	0.4029318917162722	1.6531716177125685e-5	3.624891709020927e-4	TRUE
ENSG00000172081	2.9955046101908955	2.5012866954834383	0.41944677568636124	2.6512319515493755e-6	9.626931284737802e-5	TRUE
ENSG00000002834	5.823976176013818	2.490147336299148	0.45625994367320105	3.2132683985239433e-9	6.132960911546381e-7	TRUE
ENSG00000119638	1.893617989392113	2.4869065504905423	0.34976359298556725	0.0029374839933997052	0.016155200115632432	TRUE
ENSG00000169100	11.507445891066013	2.4800953448700356	0.5115150896272889	7.362595052293958e-8	7.178705435953209e-6	TRUE
ENSG00000089157	11.974600621216046	2.477652899843318	0.49132096152889765	2.7331748249147904e-8	3.2328453774132974e-6	TRUE
ENSG00000108256	3.0887840402564444	2.4760240226920565	0.4235814795261617	1.6360047161633709e-6	6.835406769323378e-5	TRUE
ENSG00000237665	16.011732623030696	2.4599171568511493	0.554031318559909	4.932819234135793e-7	2.7990416167751612e-5	TRUE
